1332 2674
271 272 17
272 271 17
272 273 10
273 272 10
273 274 13
273 923 37
274 273 13
274 275 29
275 274 29
275 276 16
276 275 16
276 277 17
277 276 17
277 278 8
278 277 8
278 279 11
279 278 11
279 280 16
280 279 16
280 281 29
281 280 29
281 282 57
282 281 57
282 283 61
283 282 61
283 284 59
284 283 59
284 285 13
284 294 30
285 284 13
285 286 9
286 285 9
286 287 8
287 286 8
287 288 12
288 287 12
288 289 28
289 288 28
289 290 42
290 289 42
290 291 23
291 290 23
291 292 24
292 291 24
292 293 153
293 292 153
294 284 30
294 295 28
295 294 28
295 296 43
296 295 43
296 297 10
297 296 10
297 298 16
298 297 16
298 299 31
299 298 31
299 300 20
300 299 20
300 301 19
301 300 19
301 302 16
302 301 16
302 303 16
303 302 16
303 304 9
304 303 9
304 305 7
305 304 7
305 306 10
306 305 10
306 307 11
307 306 11
307 308 16
308 307 16
308 309 30
309 308 30
309 310 27
310 309 27
310 311 14
311 310 14
311 312 16
312 311 16
312 313 16
313 312 16
313 314 13
314 313 13
314 315 12
315 314 12
315 316 15
316 315 15
316 317 24
317 316 24
317 318 15
318 317 15
318 319 10
319 318 10
319 320 19
320 319 19
320 321 11
321 320 11
321 322 13
322 321 13
322 323 19
323 322 19
323 324 12
324 323 12
324 325 11
325 324 11
325 326 15
326 325 15
326 327 14
327 326 14
327 328 9
328 327 9
328 329 8
329 328 8
329 330 11
330 329 11
330 331 11
331 330 11
331 332 10
332 331 10
332 333 15
333 332 15
333 334 12
334 333 12
334 335 8
335 334 8
335 336 15
336 335 15
336 337 12
337 336 12
337 338 9
338 337 9
338 339 8
339 338 8
339 340 13
340 339 13
340 341 17
341 340 17
341 342 9
342 341 9
342 343 11
343 342 11
343 344 10
344 343 10
344 345 11
345 344 11
345 346 13
346 345 13
346 347 20
347 346 20
347 348 23
348 347 23
348 349 15
349 348 15
349 350 11
350 349 11
350 351 10
351 350 10
351 352 11
352 351 11
352 353 20
353 352 20
353 354 27
354 353 27
354 355 32
355 354 32
355 356 11
355 358 18
356 355 11
356 357 12
357 356 12
358 355 18
358 359 18
359 358 18
359 360 10
359 361 5
360 359 10
361 359 5
361 362 7
362 361 7
362 363 6
363 362 6
363 364 10
364 363 10
364 365 27
365 364 27
365 366 25
366 365 25
366 367 17
367 366 17
367 368 12
368 367 12
368 369 12
369 368 12
369 370 25
370 369 25
370 371 37
371 370 37
371 372 23
372 371 23
372 373 26
373 372 26
373 374 7
374 373 7
374 375 13
375 374 13
375 376 20
376 375 20
376 377 15
377 376 15
377 378 11
378 377 11
378 379 11
379 378 11
379 380 10
380 379 10
380 381 16
381 380 16
381 382 13
382 381 13
382 383 10
383 382 10
383 384 13
384 383 13
384 385 12
385 384 12
385 386 14
386 385 14
386 387 13
387 386 13
387 388 16
388 387 16
388 389 35
389 388 35
389 390 22
390 389 22
390 391 29
391 390 29
391 392 17
392 391 17
392 393 16
393 392 16
393 394 18
394 393 18
394 395 23
395 394 23
395 396 23
396 395 23
396 397 25
397 396 25
397 398 13
398 397 13
398 399 8
399 398 8
399 400 14
400 399 14
400 401 11
401 400 11
401 402 7
402 401 7
402 403 10
403 402 10
403 404 13
404 403 13
404 405 10
405 404 10
405 406 10
406 405 10
406 407 10
407 406 10
407 408 11
408 407 11
408 409 13
409 408 13
409 410 11
410 409 11
410 411 7
411 410 7
411 412 9
412 411 9
412 413 4
413 412 4
413 414 7
413 415 4
414 413 7
415 413 4
415 416 7
416 415 7
416 417 6
417 416 6
417 418 8
418 417 8
418 419 6
419 418 6
419 420 7
420 419 7
420 421 6
421 420 6
421 422 14
422 421 14
422 423 7
423 422 7
423 424 10
424 423 10
424 425 6
425 424 6
425 426 5
426 425 5
426 427 6
427 426 6
427 428 6
428 427 6
428 429 10
429 428 10
429 430 26
430 429 26
430 431 15
431 430 15
431 432 10
432 431 10
432 433 9
433 432 9
433 434 9
434 433 9
434 435 9
435 434 9
435 436 7
436 435 7
436 437 7
437 436 7
437 438 10
438 437 10
438 439 5
439 438 5
439 440 7
440 439 7
440 441 6
441 440 6
441 442 12
442 441 12
442 443 9
443 442 9
443 444 6
444 443 6
444 445 13
445 444 13
445 446 12
446 445 12
446 447 10
447 446 10
447 448 9
448 447 9
448 449 11
449 448 11
449 450 7
450 449 7
450 451 10
451 450 10
451 452 15
452 451 15
452 453 17
453 452 17
453 454 14
454 453 14
454 455 11
455 454 11
455 456 7
456 455 7
456 457 9
457 456 9
457 458 11
458 457 11
458 459 14
458 460 10
459 458 14
460 458 10
460 461 13
461 460 13
461 462 18
462 461 18
462 463 13
463 462 13
463 464 42
464 463 42
464 465 52
465 464 52
465 466 31
466 465 31
466 467 12
466 468 1
467 466 12
468 466 1
468 469 35
469 468 35
469 470 23
470 469 23
470 471 18
471 470 18
471 472 11
472 471 11
472 473 15
473 472 15
473 474 20
474 473 20
474 475 11
475 474 11
475 476 8
476 475 8
476 477 6
477 476 6
477 478 5
478 477 5
478 479 7
479 478 7
479 480 7
480 479 7
480 481 7
481 480 7
481 482 12
482 481 12
482 483 12
483 482 12
483 484 9
484 483 9
484 485 6
485 484 6
485 486 6
486 485 6
486 487 6
487 486 6
487 488 9
488 487 9
488 489 8
489 488 8
489 490 6
490 489 6
490 491 3
491 490 3
491 492 13
492 491 13
492 493 6
493 492 6
493 494 8
494 493 8
494 495 5
495 494 5
495 496 5
496 495 5
496 497 10
497 496 10
497 498 13
498 497 13
498 499 12
499 498 12
499 500 13
500 499 13
500 501 12
501 500 12
501 502 10
502 501 10
502 503 8
503 502 8
503 504 13
504 503 13
504 505 10
505 504 10
505 506 8
506 505 8
506 507 15
507 506 15
507 508 7
508 507 7
508 509 8
509 508 8
509 510 9
510 509 9
510 511 10
511 510 10
511 512 13
512 511 13
512 513 13
513 512 13
513 514 11
514 513 11
514 515 7
515 514 7
515 516 8
516 515 8
516 517 11
517 516 11
517 518 10
518 517 10
518 519 9
519 518 9
519 520 12
520 519 12
520 521 12
521 520 12
521 522 8
522 521 8
522 523 11
523 522 11
523 524 8
524 523 8
524 525 6
525 524 6
525 526 7
526 525 7
526 527 8
527 526 8
527 528 11
528 527 11
528 529 8
529 528 8
529 530 10
530 529 10
530 531 13
531 530 13
531 532 14
532 531 14
532 533 16
533 532 16
533 534 10
534 533 10
534 535 7
535 534 7
535 536 4
536 535 4
536 537 5
537 536 5
537 538 4
538 537 4
538 539 4
539 538 4
539 540 5
540 539 5
540 541 31
541 540 31
541 542 15
542 541 15
542 543 12
543 542 12
543 544 8
544 543 8
544 545 6
545 544 6
545 546 5
546 545 5
546 547 5
547 546 5
547 548 6
548 547 6
548 549 13
549 548 13
549 550 8
550 549 8
550 551 11
551 550 11
551 552 17
552 551 17
552 553 7
553 552 7
553 554 7
554 553 7
554 555 9
555 554 9
555 556 6
556 555 6
556 557 9
557 556 9
557 558 8
558 557 8
558 559 15
559 558 15
559 560 14
560 559 14
560 561 8
561 560 8
561 562 9
562 561 9
562 563 8
563 562 8
563 564 9
564 563 9
564 565 9
565 564 9
565 566 12
566 565 12
566 567 16
567 566 16
567 568 11
568 567 11
568 569 10
569 568 10
569 570 6
570 569 6
570 571 9
571 570 9
571 572 18
572 571 18
572 573 12
573 572 12
573 574 13
574 573 13
574 575 10
575 574 10
575 576 9
576 575 9
576 577 8
577 576 8
577 578 22
578 577 22
578 579 13
579 578 13
579 580 9
580 579 9
580 581 7
581 580 7
581 582 8
582 581 8
582 583 8
583 582 8
583 584 7
584 583 7
584 585 9
585 584 9
585 586 8
586 585 8
586 587 11
587 586 11
587 588 8
588 587 8
588 589 13
589 588 13
589 590 13
590 589 13
590 591 21
591 590 21
591 592 33
592 591 33
592 593 26
593 592 26
593 594 13
594 593 13
594 595 12
595 594 12
595 596 10
596 595 10
596 597 7
597 596 7
597 598 6
598 597 6
598 599 6
599 598 6
599 600 8
600 599 8
600 601 10
601 600 10
601 602 9
602 601 9
602 603 8
603 602 8
603 604 11
604 603 11
604 605 16
605 604 16
605 606 16
606 605 16
606 607 9
607 606 9
607 608 9
608 607 9
608 609 5
609 608 5
609 610 10
610 609 10
610 611 13
611 610 13
611 612 8
612 611 8
612 613 8
613 612 8
613 614 9
614 613 9
614 615 6
615 614 6
615 616 8
616 615 8
616 617 14
617 616 14
617 618 8
618 617 8
618 619 8
619 618 8
619 620 9
620 619 9
620 621 5
621 620 5
621 622 7
622 621 7
622 623 9
623 622 9
623 624 9
624 623 9
624 625 7
625 624 7
625 626 11
626 625 11
626 627 13
627 626 13
627 628 12
628 627 12
628 629 12
629 628 12
629 630 8
630 629 8
630 631 11
631 630 11
631 632 13
632 631 13
632 633 13
633 632 13
633 634 7
634 633 7
634 635 6
635 634 6
635 636 9
636 635 9
636 637 10
637 636 10
637 638 10
638 637 10
638 639 8
639 638 8
639 640 9
640 639 9
640 641 11
641 640 11
641 642 12
642 641 12
642 643 9
643 642 9
643 644 8
644 643 8
644 645 13
645 644 13
645 646 12
646 645 12
646 647 16
647 646 16
647 648 10
648 647 10
648 649 16
649 648 16
649 650 10
650 649 10
650 651 14
651 650 14
651 652 12
652 651 12
652 653 19
653 652 19
653 654 4
654 653 4
654 655 7
655 654 7
655 656 9
656 655 9
656 657 9
657 656 9
657 658 9
658 657 9
658 659 8
659 658 8
659 660 5
660 659 5
660 661 5
661 660 5
661 662 8
662 661 8
662 663 12
663 662 12
663 664 20
664 663 20
664 665 12
665 664 12
665 666 19
666 665 19
666 667 14
667 666 14
667 668 20
668 667 20
668 669 14
669 668 14
669 670 11
670 669 11
670 671 11
671 670 11
671 672 8
672 671 8
672 673 7
673 672 7
673 674 8
674 673 8
674 675 9
675 674 9
675 676 9
676 675 9
676 677 18
677 676 18
677 678 7
678 677 7
678 679 10
679 678 10
679 680 12
680 679 12
680 681 22
681 680 22
681 682 11
682 681 11
682 683 20
683 682 20
683 684 11
684 683 11
684 685 9
685 684 9
685 686 9
686 685 9
686 687 9
687 686 9
687 688 11
688 687 11
688 689 7
689 688 7
689 690 7
690 689 7
690 691 9
691 690 9
691 692 14
692 691 14
692 693 9
693 692 9
693 694 14
694 693 14
694 695 7
695 694 7
695 696 7
696 695 7
696 697 5
697 696 5
697 698 12
698 697 12
698 699 12
699 698 12
699 700 13
700 699 13
700 701 16
701 700 16
701 702 13
702 701 13
702 703 17
703 702 17
703 704 11
704 703 11
704 705 14
705 704 14
705 706 12
706 705 12
706 707 13
707 706 13
707 708 6
708 707 6
708 709 11
709 708 11
709 710 15
710 709 15
710 711 17
711 710 17
711 712 11
712 711 11
712 713 11
713 712 11
713 714 12
714 713 12
714 715 11
715 714 11
715 716 20
716 715 20
716 717 10
717 716 10
717 718 13
718 717 13
718 719 9
719 718 9
719 720 8
720 719 8
720 721 6
721 720 6
721 722 3
722 721 3
722 723 7
723 722 7
723 724 7
724 723 7
724 725 7
725 724 7
725 726 15
726 725 15
726 727 10
727 726 10
727 728 8
728 727 8
728 729 11
729 728 11
729 730 9
730 729 9
730 731 10
731 730 10
731 732 9
732 731 9
732 733 8
733 732 8
733 734 7
734 733 7
734 735 16
735 734 16
735 736 14
736 735 14
736 737 8
737 736 8
737 738 9
738 737 9
738 739 8
739 738 8
739 740 4
740 739 4
740 741 7
741 740 7
741 742 9
742 741 9
742 743 8
743 742 8
743 744 7
744 743 7
744 745 5
745 744 5
745 746 7
746 745 7
746 747 3
747 746 3
747 748 6
748 747 6
748 749 10
749 748 10
749 750 8
750 749 8
750 751 6
751 750 6
751 752 6
752 751 6
752 753 4
753 752 4
753 754 4
754 753 4
754 755 5
755 754 5
755 756 4
756 755 4
756 757 5
757 756 5
757 758 10
758 757 10
758 759 12
759 758 12
759 760 11
760 759 11
760 761 13
761 760 13
761 762 27
762 761 27
762 763 13
763 762 13
763 764 14
764 763 14
764 765 14
765 764 14
765 766 12
766 765 12
766 767 24
767 766 24
767 768 13
768 767 13
768 769 7
769 768 7
769 770 6
770 769 6
770 771 5
771 770 5
771 772 7
772 771 7
772 773 13
773 772 13
773 774 9
774 773 9
774 775 8
775 774 8
775 776 12
776 775 12
776 777 8
777 776 8
777 778 9
778 777 9
778 779 11
779 778 11
779 780 8
780 779 8
780 781 6
781 780 6
781 782 6
782 781 6
782 783 9
783 782 9
783 784 11
784 783 11
784 785 10
785 784 10
785 786 5
786 785 5
786 787 7
787 786 7
787 788 8
788 787 8
788 789 6
789 788 6
789 790 7
790 789 7
790 791 7
791 790 7
791 792 6
792 791 6
792 793 5
793 792 5
793 794 16
794 793 16
794 795 9
795 794 9
795 796 5
796 795 5
796 797 9
797 796 9
797 798 8
798 797 8
798 799 8
799 798 8
799 800 6
800 799 6
800 801 5
801 800 5
801 802 5
802 801 5
802 803 6
803 802 6
803 804 5
804 803 5
804 805 7
805 804 7
805 806 9
806 805 9
806 807 10
807 806 10
807 808 4
808 807 4
808 809 6
809 808 6
809 810 7
810 809 7
810 811 13
811 810 13
811 812 11
812 811 11
812 813 5
813 812 5
813 814 4
814 813 4
814 815 6
815 814 6
815 816 5
816 815 5
816 817 11
817 816 11
817 818 8
818 817 8
818 819 9
819 818 9
819 820 8
820 819 8
820 821 14
821 820 14
821 822 24
822 821 24
822 823 23
823 822 23
823 824 16
824 823 16
824 825 16
825 824 16
825 826 50
826 825 50
826 827 23
827 826 23
827 828 29
828 827 29
828 829 39
828 830 15
829 828 39
830 828 15
830 831 12
831 830 12
831 832 14
832 831 14
832 833 9
833 832 9
833 834 13
834 833 13
834 835 15
835 834 15
835 836 13
836 835 13
836 837 32
837 836 32
837 838 29
838 837 29
838 839 16
839 838 16
839 840 17
840 839 17
840 841 6
841 840 6
841 842 7
842 841 7
842 843 8
843 842 8
843 844 9
844 843 9
844 845 9
845 844 9
845 846 4
846 845 4
846 847 7
847 846 7
847 848 7
848 847 7
848 849 8
849 848 8
849 850 9
850 849 9
850 851 7
851 850 7
851 852 12
852 851 12
852 853 14
853 852 14
853 854 10
854 853 10
854 855 7
855 854 7
855 856 8
856 855 8
856 857 7
857 856 7
857 858 7
858 857 7
858 859 9
859 858 9
859 860 10
860 859 10
860 861 10
861 860 10
861 862 8
862 861 8
862 863 5
863 862 5
863 864 9
864 863 9
864 865 13
865 864 13
865 866 7
866 865 7
866 867 11
867 866 11
867 868 14
868 867 14
868 869 14
869 868 14
869 870 18
870 869 18
870 871 5
871 870 5
871 872 8
872 871 8
872 873 7
873 872 7
873 874 9
874 873 9
874 875 7
875 874 7
875 876 7
876 875 7
876 877 21
877 876 21
877 878 13
878 877 13
878 879 12
879 878 12
879 880 19
880 879 19
880 881 15
881 880 15
881 882 10
882 881 10
882 883 16
883 882 16
883 884 13
884 883 13
884 885 9
885 884 9
885 886 7
886 885 7
886 887 10
887 886 10
887 888 18
888 887 18
888 889 16
889 888 16
889 890 14
890 889 14
890 891 12
891 890 12
891 892 14
892 891 14
892 893 8
892 922 13
893 892 8
893 894 10
894 893 10
894 895 11
895 894 11
895 896 11
896 895 11
896 897 12
897 896 12
897 898 13
898 897 13
898 899 16
899 898 16
899 900 11
900 899 11
900 901 11
901 900 11
901 902 11
902 901 11
902 903 12
903 902 12
903 904 14
904 903 14
904 905 11
905 904 11
905 906 14
906 905 14
906 907 18
907 906 18
907 908 18
908 907 18
908 909 16
909 908 16
909 910 15
910 909 15
910 911 10
911 910 10
911 912 5
912 911 5
912 913 5
913 912 5
913 914 6
914 913 6
914 915 9
915 914 9
915 916 8
916 915 8
916 917 8
917 916 8
917 918 20
918 917 20
918 919 14
919 918 14
919 920 14
920 919 14
920 921 13
921 920 13
921 1174 30
922 892 13
923 270 39
923 273 37
923 924 76
923 926 41
924 923 76
924 925 41
925 261 48
925 924 41
926 923 41
926 927 48
927 926 48
927 928 80
928 927 80
928 929 88
929 928 88
929 930 56
930 929 56
930 931 61
931 930 61
931 932 56
932 267 104
932 931 56
932 933 97
932 948 238
933 932 97
933 934 131
934 933 131
934 935 71
935 934 71
935 936 89
936 935 89
936 937 20
937 936 20
937 938 49
938 937 49
938 939 57
939 938 57
939 940 35
940 939 35
940 941 53
941 940 53
941 942 120
942 941 120
942 943 35
943 942 35
943 944 32
944 943 32
944 945 16
945 944 16
945 946 45
946 945 45
946 947 16
947 946 16
947 968 30
948 932 238
948 949 282
949 948 282
949 950 58
949 955 69
950 949 58
950 951 132
950 952 211
950 954 173
951 950 132
952 950 211
952 953 6
953 266 105
953 952 6
954 950 173
955 949 69
955 956 39
955 989 34
956 955 39
956 957 33
957 956 33
957 958 22
958 957 22
958 959 174
959 958 174
959 960 48
960 959 48
960 961 34
961 960 34
961 962 37
962 961 37
962 963 15
963 962 15
963 964 15
964 963 15
964 965 68
965 964 68
965 966 35
966 965 35
966 967 105
967 966 105
967 968 24
968 947 30
968 967 24
968 969 49
969 968 49
969 970 35
970 969 35
970 971 60
971 970 60
971 972 9
972 971 9
972 973 14
973 972 14
973 974 21
973 988 16
974 973 21
974 975 43
975 974 43
975 976 12
976 975 12
976 977 11
977 976 11
977 978 10
978 977 10
978 979 6
979 978 6
979 980 10
980 979 10
980 981 7
981 980 7
981 982 12
982 981 12
982 983 6
983 982 6
983 984 17
984 983 17
984 985 28
985 984 28
985 986 19
986 985 19
986 987 13
987 986 13
988 973 16
989 955 34
989 990 183
990 989 183
990 991 61
991 990 61
991 992 217
992 991 217
992 993 26
993 992 26
993 994 13
994 993 13
994 995 16
995 994 16
995 996 22
996 995 22
996 997 45
997 996 45
997 998 22
998 997 22
998 999 29
999 998 29
999 1000 14
1000 999 14
1000 1001 24
1001 1000 24
1001 1002 30
1002 1001 30
1002 1003 14
1003 1002 14
1003 1004 16
1004 1003 16
1004 1005 9
1005 1004 9
1005 1006 25
1006 1005 25
1006 1007 12
1007 1006 12
1007 1008 41
1008 1007 41
1008 1009 56
1009 1008 56
1009 1010 27
1010 1009 27
1010 1011 19
1011 1010 19
1011 1012 20
1012 1011 20
1012 1013 22
1013 1012 22
1013 1014 11
1014 1013 11
1014 1015 16
1015 1014 16
1015 1016 23
1016 1015 23
1016 1017 14
1017 1016 14
1017 1018 10
1018 1017 10
1018 1019 28
1019 1018 28
1019 1020 16
1020 1019 16
1020 1021 18
1021 1020 18
1021 1022 11
1022 1021 11
1022 1023 8
1023 1022 8
1023 1024 16
1024 1023 16
1024 1025 42
1025 1024 42
1025 1026 69
1026 1025 69
1026 1027 13
1027 1026 13
1027 1028 15
1028 1027 15
1028 1029 9
1029 1028 9
1029 1030 14
1030 1029 14
1030 1031 20
1031 1030 20
1031 1032 15
1032 1031 15
1032 1033 11
1033 1032 11
1033 1034 8
1034 1033 8
1034 1035 7
1035 1034 7
1035 1036 17
1036 1035 17
1036 1037 21
1037 1036 21
1037 1038 13
1038 1037 13
1038 1039 45
1039 1038 45
1039 1040 6
1040 1039 6
1040 1041 5
1041 1040 5
1041 1042 5
1042 1041 5
1042 1043 16
1043 1042 16
1043 1044 39
1044 1043 39
1044 1045 9
1045 1044 9
1045 1046 10
1046 1045 10
1046 1047 17
1047 1046 17
1047 1048 16
1048 1047 16
1048 1049 49
1049 1048 49
1049 1050 57
1050 1049 57
1050 1051 21
1051 1050 21
1051 1052 12
1052 1051 12
1052 1053 12
1053 1052 12
1053 1054 17
1054 1053 17
1054 1055 37
1055 1054 37
1055 1056 14
1056 1055 14
1056 1057 9
1057 1056 9
1057 1058 9
1058 1057 9
1058 1059 16
1059 1058 16
1059 1060 12
1060 1059 12
1060 1061 24
1061 1060 24
1061 1062 46
1062 1061 46
1062 1063 10
1063 1062 10
1063 1064 26
1064 1063 26
1064 1065 10
1065 1064 10
1065 1066 8
1066 1065 8
1066 1067 13
1067 1066 13
1067 1068 52
1068 1067 52
1068 1069 9
1069 1068 9
1069 1070 12
1070 1069 12
1070 1071 38
1071 1070 38
1071 1072 10
1072 1071 10
1072 1073 74
1073 1072 74
1073 1074 26
1074 1073 26
1074 1075 10
1075 1074 10
1075 1076 7
1076 1075 7
1076 1077 55
1076 1078 10
1077 1076 55
1078 1076 10
1078 1079 13
1079 1078 13
1079 1080 43
1080 1079 43
1080 1081 18
1081 1080 18
1081 1082 22
1082 1081 22
1082 1083 112
1083 1082 112
1083 1084 13
1084 1083 13
1084 1085 14
1085 1084 14
1085 1086 35
1086 1085 35
1086 1087 56
1087 1086 56
1087 1088 12
1088 1087 12
1088 1089 19
1089 1088 19
1089 1090 158
1090 1089 158
1090 1091 15
1091 1090 15
1091 1092 31
1092 1091 31
1092 1093 13
1093 1092 13
1093 1094 38
1094 1093 38
1094 1095 7
1095 1094 7
1095 1096 9
1096 1095 9
1096 1097 10
1097 1096 10
1097 1098 47
1098 1097 47
1098 1099 16
1099 1098 16
1099 1100 12
1100 1099 12
1100 1101 14
1101 1100 14
1101 1102 19
1102 1101 19
1102 1103 68
1103 1102 68
1103 1104 21
1104 1103 21
1104 1105 19
1105 1104 19
1105 1106 85
1106 1105 85
1106 1107 55
1107 1106 55
1107 1108 15
1108 1107 15
1108 1109 17
1109 1108 17
1109 1110 82
1110 1109 82
1110 1111 27
1111 1110 27
1111 1112 23
1112 1111 23
1112 1113 59
1113 1112 59
1113 1114 39
1114 1113 39
1114 1115 67
1115 1114 67
1115 1116 23
1116 1115 23
1116 1117 20
1117 1116 20
1117 1118 26
1118 1117 26
1118 1119 27
1119 1118 27
1119 1120 20
