Arestas na MST:
267 - 6792: 1
9827 - 3806: 1
6288 - 5151: 1
963 - 9466: 1
4601 - 9795: 1
4263 - 3808: 1
7867 - 7868: 1
2183 - 2184: 1
7873 - 7874: 1
6068 - 6067: 1
4614 - 6703: 1
4815 - 5694: 1
3426 - 2354: 1
8691 - 9580: 1
212 - 3029: 1
6086 - 2875: 1
6059 - 6060: 1
2896 - 8691: 1
9986 - 4870: 1
684 - 8922: 1
2521 - 8821: 1
6735 - 9546: 1
4065 - 7880: 1
2161 - 2162: 1
9573 - 4441: 1
5394 - 227: 1
3150 - 9058: 1
1881 - 1274: 1
4448 - 3326: 1
2369 - 8542: 1
1638 - 1637: 1
3569 - 9704: 1
6420 - 5561: 1
580 - 5818: 1
300 - 5338: 1
7508 - 7509: 1
9006 - 2437: 1
6213 - 4054: 1
2066 - 7680: 1
4220 - 4776: 1
344 - 8819: 1
1618 - 1619: 1
6683 - 2645: 1
341 - 689: 1
6726 - 3068: 1
9664 - 4874: 1
5582 - 1431: 1
6785 - 3407: 1
4510 - 4734: 1
1878 - 1879: 1
4488 - 945: 1
806 - 3180: 1
7826 - 7602: 1
3368 - 7791: 1
5347 - 3701: 1
1223 - 747: 1
1577 - 1500: 1
5557 - 8028: 1
8949 - 3283: 1
5081 - 7457: 1
3725 - 182: 1
4655 - 8940: 1
1816 - 1817: 1
3475 - 8013: 1
1807 - 1927: 1
9011 - 7544: 1
8493 - 3155: 1
6982 - 6122: 1
8282 - 8283: 1
5901 - 5981: 1
8817 - 9837: 1
1442 - 2949: 1
6879 - 2689: 1
2650 - 2972: 1
831 - 9206: 1
6837 - 8057: 1
5336 - 436: 1
3356 - 2453: 1
1852 - 3613: 1
4210 - 3441: 1
142 - 7415: 1
8310 - 7047: 1
2306 - 537: 1
9073 - 3859: 1
3539 - 6972: 1
8466 - 8467: 1
7027 - 7026: 1
944 - 943: 1
2520 - 3212: 1
3434 - 3276: 1
5800 - 1903: 1
2902 - 8688: 1
117 - 1046: 1
1336 - 1758: 1
6261 - 6965: 1
1765 - 5246: 1
7113 - 7112: 1
8339 - 8340: 1
316 - 1374: 1
2813 - 2814: 1
5818 - 5819: 1
6697 - 2827: 1
3885 - 2157: 1
2843 - 2844: 1
2337 - 2338: 1
5018 - 1121: 1
6081 - 6082: 1
3100 - 6120: 1
8007 - 8008: 1
3222 - 8392: 1
6080 - 6079: 1
4861 - 8064: 1
7649 - 2028: 1
1366 - 6496: 1
564 - 3979: 1
4313 - 8475: 1
1257 - 1256: 1
5106 - 5214: 1
6048 - 6240: 1
7259 - 7258: 1
2479 - 5575: 1
7946 - 7947: 1
9100 - 2346: 1
8552 - 3205: 1
1368 - 2425: 1
6181 - 3574: 1
3632 - 886: 1
8153 - 8154: 1
6107 - 6538: 1
1170 - 1171: 1
8840 - 4907: 1
2122 - 1216: 1
8199 - 8200: 1
2960 - 7030: 1
1189 - 1190: 1
6912 - 2814: 1
8792 - 5326: 1
1192 - 1191: 1
5875 - 8710: 1
5748 - 3249: 1
4686 - 4326: 1
6866 - 2427: 1
3176 - 8816: 1
5137 - 5136: 1
1470 - 8954: 1
9978 - 9977: 1
5802 - 7658: 1
231 - 232: 1
75 - 1926: 1
1724 - 4139: 1
1618 - 5910: 1
1893 - 1496: 1
1749 - 835: 1
7351 - 1126: 1
3182 - 3958: 1
217 - 216: 1
4795 - 2512: 1
3170 - 5300: 1
7565 - 3377: 1
882 - 7141: 1
491 - 6202: 1
4805 - 2597: 1
5539 - 7017: 1
8519 - 4363: 1
3723 - 9893: 1
355 - 4571: 1
4258 - 8907: 1
9391 - 5851: 1
5294 - 5295: 1
4540 - 4180: 1
670 - 7606: 1
3475 - 5534: 1
9963 - 7482: 1
4687 - 6857: 1
9763 - 4047: 1
2131 - 2224: 1
4695 - 4694: 1
6271 - 6270: 1
8878 - 7242: 1
7097 - 6290: 1
1569 - 513: 1
1916 - 9869: 1
5857 - 3927: 1
2388 - 3169: 1
6769 - 9895: 1
4942 - 4941: 1
4657 - 7408: 1
8114 - 3979: 1
1434 - 4761: 1
5342 - 5341: 1
1051 - 7279: 1
8285 - 9405: 1
6208 - 3275: 1
4908 - 4907: 1
3954 - 1641: 1
5334 - 5335: 1
8908 - 483: 1
3353 - 8904: 1
4703 - 5397: 1
4102 - 8448: 1
6438 - 6437: 1
130 - 129: 1
2373 - 9279: 1
7635 - 9914: 1
191 - 190: 1
6716 - 9541: 1
192 - 193: 1
9886 - 16: 1
9513 - 8336: 1
8981 - 9708: 1
5304 - 6164: 1
7968 - 174: 1
5082 - 7100: 1
7782 - 234: 1
6299 - 8287: 1
2696 - 3951: 1
9428 - 5060: 1
7780 - 3923: 1
4885 - 4884: 1
2207 - 1510: 1
187 - 188: 1
6554 - 5435: 1
4323 - 6829: 1
5564 - 4695: 1
7276 - 5393: 1
1434 - 3636: 1
9737 - 9736: 1
7024 - 6486: 1
5102 - 565: 1
2451 - 6592: 1
1550 - 6441: 1
5263 - 5262: 1
8884 - 8885: 2
4056 - 2044: 2
8110 - 9721: 2
9888 - 6522: 2
3905 - 2664: 2
9908 - 5205: 2
3370 - 9294: 2
1071 - 4988: 2
1599 - 1749: 2
9086 - 8399: 2
3004 - 3005: 2
3005 - 3006: 2
7427 - 8389: 2
4904 - 4069: 2
5517 - 7994: 2
9239 - 918: 2
3822 - 2096: 2
3283 - 2721: 2
5194 - 7754: 2
4785 - 5400: 2
5111 - 254: 2
4228 - 4897: 2
707 - 708: 2
8909 - 8908: 2
8144 - 6521: 2
6824 - 6825: 2
762 - 4083: 2
9997 - 9990: 2
6278 - 6279: 2
3776 - 723: 2
9934 - 926: 2
4828 - 4829: 2
3512 - 8555: 2
2978 - 5868: 2
6996 - 8064: 2
2151 - 8481: 2
6760 - 1002: 2
3903 - 6988: 2
9754 - 9125: 2
9409 - 109: 2
6441 - 939: 2
3024 - 9338: 2
7979 - 7978: 2
7704 - 507: 2
8107 - 9150: 2
8567 - 659: 2
7656 - 9588: 2
9698 - 4623: 2
2323 - 2953: 2
4811 - 5429: 2
8641 - 5660: 2
8859 - 8858: 2
8924 - 3420: 2
4047 - 7970: 2
8715 - 1481: 2
5147 - 4711: 2
6272 - 4439: 2
4396 - 4516: 2
6767 - 6768: 2
1432 - 4178: 2
5319 - 6121: 2
7428 - 5129: 2
2661 - 2660: 2
8415 - 6827: 2
4476 - 6254: 2
4657 - 4059: 2
1147 - 4704: 2
8835 - 4959: 2
3646 - 4220: 2
9094 - 9093: 2
4754 - 4755: 2
8746 - 1266: 2
4692 - 3494: 2
4812 - 3803: 2
3072 - 1860: 2
3542 - 5069: 2
4074 - 4295: 2
3731 - 3730: 2
10 - 9: 2
2445 - 1541: 2
3571 - 6518: 2
7426 - 1130: 2
9965 - 9966: 2
4107 - 3434: 2
341 - 3283: 2
7914 - 3015: 2
4066 - 1797: 2
2971 - 5922: 2
5632 - 1487: 2
7974 - 4213: 2
7130 - 7129: 2
3607 - 3606: 2
6192 - 6191: 2
6976 - 2515: 2
6921 - 9218: 2
2403 - 1515: 2
9305 - 6868: 2
7269 - 4078: 2
8248 - 8344: 2
6145 - 6144: 2
2284 - 4736: 2
3959 - 2272: 2
3978 - 8426: 2
2187 - 2188: 2
1450 - 9339: 2
6132 - 1267: 2
1829 - 9971: 2
5332 - 5333: 2
738 - 5876: 2
6267 - 5339: 2
6032 - 6634: 2
2247 - 9899: 2
695 - 6405: 2
6944 - 4942: 2
2076 - 1299: 2
7188 - 7187: 2
8097 - 1031: 2
471 - 8386: 2
8638 - 4476: 2
2731 - 2025: 2
8413 - 1370: 2
2415 - 2984: 2
4223 - 4544: 2
8664 - 8663: 2
4071 - 1937: 2
1808 - 454: 2
8655 - 4635: 2
3087 - 261: 2
14 - 7032: 2
4125 - 3924: 2
4103 - 6427: 2
4295 - 4344: 2
4562 - 9163: 2
1078 - 5350: 2
6890 - 6195: 2
3995 - 9856: 2
5613 - 2853: 2
3084 - 8832: 2
1308 - 353: 2
9662 - 9663: 2
4407 - 6649: 2
6301 - 2275: 2
3822 - 4696: 2
5484 - 1782: 2
5882 - 423: 2
5845 - 5844: 2
6558 - 6559: 2
6096 - 7903: 2
7432 - 5969: 2
3140 - 3141: 2
8635 - 8634: 2
3629 - 136: 2
425 - 9178: 2
1967 - 1797: 2
3061 - 6951: 2
5933 - 503: 2
1134 - 1133: 2
1556 - 1555: 2
9412 - 3413: 2
3056 - 4781: 2
8382 - 7116: 2
6336 - 6335: 2
2745 - 6545: 2
7398 - 1234: 2
9321 - 5115: 2
3162 - 3161: 2
2060 - 2294: 2
1088 - 5750: 2
7586 - 2044: 2
352 - 7863: 2
8759 - 5811: 2
6957 - 9820: 2
221 - 8241: 2
5827 - 5826: 2
7936 - 6232: 2
4122 - 3783: 2
8806 - 8805: 2
2604 - 1318: 2
4429 - 2413: 2
9813 - 5544: 2
4859 - 7260: 2
2025 - 3356: 2
9784 - 3794: 2
3388 - 3389: 2
9168 - 8907: 2
4234 - 4721: 2
4536 - 4535: 2
6343 - 6317: 2
4848 - 2836: 2
102 - 103: 2
5171 - 6906: 2
9798 - 5402: 2
9030 - 7504: 2
6959 - 6958: 2
9427 - 7658: 2
1524 - 1523: 2
2976 - 9189: 2
8807 - 8806: 2
9311 - 1656: 2
940 - 9717: 2
1549 - 3852: 2
5233 - 8949: 2
1742 - 3533: 2
7888 - 1580: 2
6095 - 9943: 2
2413 - 2414: 2
9229 - 3696: 2
5008 - 5009: 2
3524 - 1625: 2
2250 - 7675: 2
1337 - 2950: 2
4675 - 9471: 2
11 - 6959: 2
3548 - 7963: 2
5797 - 2179: 2
6014 - 6015: 2
5667 - 5668: 2
9703 - 3242: 2
8773 - 8772: 2
187 - 186: 2
5672 - 5673: 2
7401 - 6221: 2
2397 - 2398: 2
9345 - 2399: 2
4626 - 1483: 2
4766 - 6441: 2
8301 - 9879: 2
6397 - 6504: 2
6356 - 6355: 2
1892 - 5213: 2
4725 - 8545: 2
2142 - 146: 2
1418 - 7765: 2
1984 - 5015: 2
2396 - 4061: 2
3987 - 8382: 2
3813 - 3936: 2
9402 - 9401: 2
994 - 993: 2
9656 - 8507: 2
2462 - 6223: 2
6427 - 4770: 2
4639 - 4640: 2
6181 - 8963: 2
5447 - 8060: 2
2734 - 8502: 2
8886 - 2039: 2
416 - 3219: 2
4141 - 4140: 2
7074 - 7075: 2
8884 - 1602: 2
8145 - 4546: 2
4328 - 4327: 2
5419 - 5420: 2
4513 - 8479: 2
6818 - 2138: 2
1599 - 3733: 2
6176 - 4216: 2
9774 - 4362: 2
9607 - 1366: 2
9531 - 3994: 2
9365 - 9366: 2
5952 - 5951: 2
28 - 6629: 2
9777 - 3757: 2
2464 - 3201: 2
911 - 3189: 2
9338 - 7635: 2
294 - 2842: 2
1124 - 8584: 2
1978 - 1979: 2
2918 - 7004: 2
7345 - 1441: 2
3337 - 1380: 2
8458 - 3050: 2
8883 - 413: 2
3225 - 4546: 2
2848 - 2849: 2
4837 - 317: 2
7464 - 7443: 2
2725 - 6651: 2
2075 - 8715: 2
4766 - 7597: 2
557 - 453: 2
9769 - 7135: 2
1061 - 9715: 2
8576 - 8002: 2
6247 - 6248: 2
3478 - 2808: 2
1459 - 1460: 2
1459 - 1458: 2
6308 - 700: 2
2724 - 5491: 2
110 - 1670: 2
7402 - 2709: 2
9447 - 6695: 2
428 - 429: 2
4885 - 8719: 2
4577 - 1925: 2
7165 - 980: 2
8991 - 6692: 2
5995 - 5996: 2
5043 - 273: 2
399 - 398: 2
1699 - 1700: 2
5466 - 5467: 2
3288 - 3717: 2
9527 - 9526: 2
6040 - 6024: 2
1701 - 1702: 2
5930 - 8925: 2
4397 - 4439: 2
4521 - 5782: 2
9185 - 6992: 2
7788 - 6538: 2
6549 - 4973: 2
2487 - 8174: 2
1694 - 3706: 2
2284 - 6266: 2
7116 - 6507: 2
8507 - 6020: 2
3535 - 5329: 2
6039 - 1933: 2
6039 - 6040: 2
9874 - 7716: 2
6494 - 4531: 2
6819 - 6982: 2
6806 - 9613: 2
4507 - 1775: 2
1446 - 1445: 2
6860 - 2465: 2
4244 - 4243: 2
9892 - 1287: 2
7547 - 7548: 2
442 - 443: 2
3575 - 6723: 2
7299 - 7808: 2
2942 - 999: 2
9478 - 9477: 2
3105 - 9357: 2
3335 - 3330: 2
1333 - 1332: 2
6759 - 6758: 2
3095 - 8062: 2
1906 - 2066: 2
4578 - 1907: 2
9568 - 3373: 2
8762 - 834: 2
1112 - 527: 2
3833 - 7463: 2
3747 - 7286: 2
8783 - 4842: 2
904 - 4240: 2
647 - 6619: 2
4615 - 2530: 2
618 - 617: 2
8722 - 6643: 2
7917 - 2794: 2
3211 - 399: 2
2729 - 1865: 2
6263 - 31: 2
9900 - 9901: 2
4854 - 6346: 2
7411 - 1473: 2
5570 - 8683: 2
4734 - 4735: 2
1327 - 3560: 2
2026 - 8751: 2
3851 - 3850: 2
8417 - 8631: 2
6922 - 6250: 2
4989 - 2120: 2
7665 - 449: 2
835 - 1175: 2
9924 - 9925: 2
3873 - 565: 2
597 - 3710: 2
3889 - 6982: 2
3643 - 3059: 2
34 - 9472: 2
2620 - 9453: 2
3487 - 5283: 2
1308 - 1309: 2
8276 - 2274: 2
8655 - 7979: 2
3895 - 1234: 2
2867 - 2866: 2
2445 - 5342: 2
393 - 4441: 2
8338 - 7567: 2
5570 - 5569: 2
8463 - 8464: 2
764 - 2546: 2
392 - 7202: 2
5162 - 8793: 2
6703 - 6704: 2
5937 - 5938: 2
506 - 9414: 2
480 - 3956: 2
4835 - 8715: 2
3883 - 6836: 2
390 - 8085: 2
7775 - 6563: 2
9137 - 3539: 2
2153 - 6081: 2
534 - 535: 2
3254 - 6224: 2
5451 - 1002: 2
4706 - 4707: 2
5990 - 748: 2
9056 - 5375: 2
132 - 133: 2
8000 - 3024: 2
327 - 326: 2
880 - 7821: 2
1344 - 1343: 2
4458 - 9298: 2
9496 - 7274: 2
1747 - 6803: 2
1732 - 3578: 2
6984 - 8010: 2
220 - 9193: 2
550 - 551: 2
3965 - 7540: 2
1109 - 2833: 2
9260 - 9259: 2
1117 - 1116: 3
2860 - 3807: 3
7120 - 7121: 3
1012 - 4082: 3
3549 - 6103: 3
4289 - 116: 3
969 - 2763: 3
9509 - 9635: 3
8438 - 7783: 3
5011 - 5551: 3
1 - 2: 3
7742 - 2703: 3
2762 - 2761: 3
2791 - 2598: 3
2222 - 4303: 3
500 - 5706: 3
732 - 6743: 3
4979 - 4978: 3
3484 - 3466: 3
8222 - 8223: 3
8423 - 9040: 3
4450 - 5491: 3
7440 - 7439: 3
8874 - 3437: 3
8982 - 9024: 3
4177 - 5016: 3
7166 - 2328: 3
9312 - 2808: 3
5081 - 6106: 3
1952 - 3889: 3
4930 - 5790: 3
126 - 127: 3
6321 - 6004: 3
5980 - 7773: 3
7093 - 7793: 3
3920 - 5300: 3
8227 - 8228: 3
2521 - 4170: 3
5991 - 3754: 3
141 - 142: 3
5615 - 3957: 3
4629 - 6771: 3
2124 - 3985: 3
5744 - 6851: 3
1061 - 1062: 3
5117 - 3769: 3
5626 - 8218: 3
1115 - 1116: 3
9542 - 6947: 3
9438 - 1932: 3
2002 - 2003: 3
3161 - 5465: 3
3967 - 2580: 3
3263 - 3362: 3
6723 - 1145: 3
768 - 7821: 3
4781 - 5912: 3
7778 - 7779: 3
7765 - 7766: 3
5630 - 9259: 3
4311 - 9722: 3
7361 - 7362: 3
6262 - 2536: 3
8869 - 5301: 3
4831 - 8210: 3
8328 - 7764: 3
5570 - 5378: 3
7425 - 7426: 3
7001 - 9846: 3
3050 - 3116: 3
8837 - 5026: 3
7291 - 9878: 3
5018 - 5753: 3
6531 - 7701: 3
6366 - 6367: 3
3703 - 8633: 3
6464 - 6176: 3
2638 - 6137: 3
6517 - 2342: 3
5286 - 5285: 3
5148 - 5147: 3
6482 - 1391: 3
415 - 1656: 3
1674 - 2838: 3
1798 - 2278: 3
3571 - 2096: 3
2358 - 7924: 3
6113 - 6023: 3
843 - 7366: 3
6347 - 6348: 3
7415 - 8151: 3
3045 - 1369: 3
5899 - 4606: 3
5861 - 1981: 3
6339 - 6340: 3
801 - 9505: 3
8298 - 5578: 3
1833 - 1834: 3
482 - 6941: 3
6254 - 4612: 3
4410 - 4915: 3
7568 - 5714: 3
6867 - 5586: 3
7895 - 4660: 3
1387 - 1386: 3
9935 - 901: 3
8698 - 8650: 3
7768 - 4199: 3
3435 - 9899: 3
2283 - 2731: 3
5005 - 7844: 3
7128 - 8920: 3
67 - 594: 3
1284 - 1283: 3
1882 - 1883: 3
7682 - 7683: 3
9684 - 728: 3
2772 - 2122: 3
6517 - 5011: 3
6879 - 1187: 3
2703 - 9002: 3
7358 - 2721: 3
5402 - 3447: 3
297 - 9948: 3
717 - 8605: 3
4436 - 5365: 3
2404 - 2405: 3
3084 - 7943: 3
8277 - 3968: 3
9058 - 1447: 3
9003 - 2107: 3
468 - 8716: 3
6979 - 251: 3
6948 - 8136: 3
6013 - 6014: 3
6420 - 7400: 3
3449 - 9125: 3
8132 - 889: 3
1661 - 99: 3
7910 - 4717: 3
8111 - 8112: 3
4729 - 2304: 3
8120 - 8121: 3
4715 - 5724: 3
3421 - 1083: 3
6255 - 3562: 3
542 - 8696: 3
6314 - 9454: 3
1672 - 4572: 3
8373 - 103: 3
7940 - 2363: 3
486 - 1256: 3
1747 - 1485: 3
3589 - 4318: 3
2204 - 2203: 3
9311 - 7610: 3
206 - 3312: 3
7760 - 9380: 3
7884 - 7885: 3
4928 - 2094: 3
2213 - 2214: 3
6438 - 2265: 3
724 - 128: 3
2467 - 7692: 3
1636 - 1635: 3
6954 - 4859: 3
252 - 3498: 3
849 - 6258: 3
5620 - 5824: 3
3545 - 4156: 3
2834 - 1574: 3
5725 - 1630: 3
4257 - 2123: 3
5466 - 6553: 3
2322 - 2323: 3
3400 - 5989: 3
5090 - 6545: 3
5102 - 5101: 3
8341 - 8382: 3
8240 - 2802: 3
6280 - 8932: 3
8909 - 2402: 3
4497 - 4573: 3
275 - 8419: 3
9835 - 9775: 3
5451 - 2792: 3
1768 - 5908: 3
4737 - 4736: 3
3595 - 5128: 3
7230 - 2343: 3
1827 - 2225: 3
390 - 6866: 3
2642 - 7141: 3
1611 - 4371: 3
9077 - 3683: 3
3823 - 3824: 3
9941 - 9942: 3
4769 - 4770: 3
5132 - 6945: 3
9027 - 5874: 3
1113 - 2669: 3
5274 - 4912: 3
9447 - 1151: 3
6186 - 2437: 3
8958 - 9981: 3
8495 - 6630: 3
4598 - 4025: 3
2952 - 1220: 3
6740 - 6739: 3
550 - 549: 3
6967 - 7033: 3
6019 - 4310: 3
7109 - 6909: 3
2420 - 3363: 3
9661 - 8479: 3
2920 - 9960: 3
9133 - 7330: 3
1970 - 3561: 3
1975 - 6028: 3
5684 - 1865: 3
2041 - 2106: 3
5543 - 5542: 3
1208 - 2809: 3
4441 - 1942: 3
6496 - 4449: 3
6163 - 7926: 3
9000 - 9369: 3
6850 - 4315: 3
1204 - 6939: 3
6720 - 17: 3
6580 - 1900: 3
206 - 207: 3
26 - 9693: 3
548 - 7103: 3
6748 - 350: 3
5837 - 9842: 3
7153 - 7349: 3
855 - 1530: 3
2452 - 1953: 3
1342 - 3346: 3
3317 - 3316: 3
2479 - 3137: 3
8784 - 8785: 3
3898 - 7542: 3
8785 - 8786: 3
7466 - 7576: 3
4881 - 5771: 3
3406 - 3407: 3
7135 - 4911: 3
8989 - 8990: 3
7071 - 5172: 3
3608 - 3609: 3
5407 - 5524: 3
3618 - 3619: 3
5147 - 3242: 3
1514 - 4111: 3
4791 - 4790: 3
2639 - 486: 3
8997 - 8998: 3
7708 - 6527: 3
4105 - 7751: 3
2565 - 4368: 3
6079 - 588: 3
9624 - 9019: 3
3542 - 3543: 3
3841 - 2387: 3
789 - 8819: 3
5717 - 3247: 3
4953 - 8748: 3
6582 - 6583: 3
5933 - 8966: 3
1404 - 5757: 3
3987 - 5066: 3
2892 - 7153: 3
8714 - 7863: 3
5570 - 4224: 3
9932 - 6049: 3
8852 - 6985: 3
7737 - 1394: 3
4391 - 4392: 3
7453 - 3981: 3
2030 - 395: 3
6236 - 6833: 3
7605 - 4731: 3
409 - 408: 3
513 - 9867: 3
780 - 5074: 3
145 - 8383: 3
1860 - 5713: 3
4571 - 4570: 3
9691 - 2485: 3
9104 - 5166: 3
4476 - 4475: 3
4480 - 4481: 3
9732 - 9733: 3
9799 - 7873: 3
6812 - 6298: 3
4688 - 4205: 3
1382 - 1314: 3
2215 - 5502: 3
5427 - 5428: 3
8972 - 2645: 3
9640 - 9639: 3
3106 - 764: 3
6563 - 6562: 3
3647 - 7238: 3
8826 - 8568: 3
8987 - 9753: 3
9651 - 9652: 3
9740 - 8462: 3
3271 - 3474: 3
3087 - 6176: 3
9450 - 3516: 3
1248 - 7725: 3
7105 - 3741: 3
1303 - 3331: 3
270 - 271: 3
4368 - 3722: 3
6402 - 1782: 3
4745 - 7641: 3
3718 - 6066: 3
4409 - 8594: 3
6616 - 6615: 3
3745 - 467: 3
4683 - 4682: 3
526 - 525: 3
8548 - 7372: 3
8676 - 6882: 3
3213 - 7635: 3
2402 - 8601: 3
4044 - 4045: 3
6980 - 2194: 3
8844 - 2805: 3
8858 - 9103: 3
9491 - 9490: 3
2595 - 9928: 3
3485 - 6764: 3
1097 - 7276: 3
9824 - 9823: 3
9817 - 9816: 3
4126 - 5967: 3
4270 - 4271: 3
7999 - 2443: 3
1798 - 8424: 3
8542 - 7439: 3
8635 - 6219: 3
4127 - 4128: 3
7214 - 1676: 3
9800 - 2321: 3
6392 - 8474: 3
1685 - 1149: 3
3178 - 2862: 3
5486 - 5485: 3
5005 - 389: 3
3530 - 2113: 3
9407 - 7823: 3
2177 - 3846: 3
4787 - 2129: 3
3045 - 3046: 3
7089 - 657: 3
5356 - 2010: 3
3967 - 9785: 3
2632 - 737: 3
7352 - 7028: 3
11 - 4301: 3
3053 - 8780: 3
2983 - 5205: 3
3006 - 3007: 3
8611 - 8612: 3
5668 - 255: 3
3022 - 3023: 3
9897 - 4748: 3
5433 - 1384: 3
2630 - 2869: 3
4926 - 5743: 3
5015 - 4679: 3
5198 - 4162: 3
1862 - 7128: 3
257 - 388: 3
6932 - 6931: 3
1288 - 9503: 3
704 - 7127: 3
3536 - 3299: 3
666 - 8511: 3
5058 - 7245: 3
3738 - 4033: 3
3684 - 973: 3
5919 - 5338: 3
409 - 6579: 3
7048 - 7049: 3
6623 - 3587: 3
8019 - 4892: 3
9738 - 8923: 3
1801 - 6245: 3
309 - 7991: 3
2877 - 2878: 3
6129 - 6130: 3
2100 - 4103: 3
2916 - 9041: 3
8369 - 8370: 3
7255 - 7639: 3
6360 - 4826: 3
2269 - 6513: 3
9136 - 6086: 3
1357 - 8030: 3
3851 - 3338: 3
6456 - 6457: 3
2478 - 6859: 3
9094 - 3749: 3
2090 - 6986: 3
3979 - 7223: 3
4957 - 4956: 3
5364 - 2669: 3
2625 - 1515: 3
6091 - 6954: 3
95 - 9755: 3
7044 - 7043: 3
2890 - 2891: 3
967 - 966: 3
5470 - 7425: 3
6135 - 6136: 3
5678 - 5679: 3
3646 - 8954: 3
5724 - 9642: 3
6729 - 2537: 3
2106 - 2640: 3
4890 - 4891: 3
9563 - 4452: 3
8738 - 8739: 3
7316 - 9384: 3
4697 - 8931: 3
3258 - 3257: 3
3114 - 8571: 3
8750 - 8751: 3
331 - 2091: 3
298 - 4722: 3
3423 - 6822: 4
7735 - 9083: 4
2201 - 7085: 4
2548 - 7859: 4
1656 - 1095: 4
2316 - 2315: 4
5798 - 7869: 4
1312 - 7036: 4
8293 - 4701: 4
3891 - 5881: 4
821 - 6248: 4
6802 - 287: 4
8789 - 2713: 4
8409 - 7858: 4
3266 - 3267: 4
1728 - 1727: 4
8818 - 8817: 4
4208 - 4365: 4
9511 - 9512: 4
3070 - 4254: 4
9812 - 9811: 4
9209 - 3879: 4
